Name,Gender,Age,Gender_bin
train_pfstar/001f12bh_digits1.wav,f,12,0
train_pfstar/001f12bh_digits6.wav,f,12,0
train_pfstar/001f12bh_list_1.wav,f,12,0
train_pfstar/001f12bh_list_ph01.wav,f,12,0
train_pfstar/001f12bh_list_ph06.wav,f,12,0
train_pfstar/001f12bh_list_ph11.wav,f,12,0
train_pfstar/001f12bh_sentences1or6a.wav,f,12,0
train_pfstar/001f12bh_sentences1or6b.wav,f,12,0
train_pfstar/001f12bh_w_list1.wav,f,12,0
train_pfstar/001m10nl_digits6.wav,m,10,1
train_pfstar/001m10nl_list_ph01.wav,m,10,1
train_pfstar/001m10nl_list_ph06.wav,m,10,1
train_pfstar/001m10nl_list_ph11.wav,m,10,1
train_pfstar/001m10nl_sentences1or6a.wav,m,10,1
train_pfstar/001m10nl_sentences1or6b.wav,m,10,1
train_pfstar/001m10nl_w_list1.wav,m,10,1
train_pfstar/001m14bh_digits1.wav,m,14,1
train_pfstar/001m14bh_digits6.wav,m,14,1
train_pfstar/001m14bh_list_1.wav,m,14,1
train_pfstar/001m14bh_list_ph01.wav,m,14,1
train_pfstar/001m14bh_list_ph06.wav,m,14,1
train_pfstar/001m14bh_list_ph11.wav,m,14,1
train_pfstar/001m14bh_sentences1or6a.wav,m,14,1
train_pfstar/001m14bh_sentences1or6b.wav,m,14,1
train_pfstar/001m14bh_w_list1.wav,m,14,1
train_pfstar/002f12bh_digits2.wav,f,12,0
train_pfstar/002f12bh_digits7.wav,f,12,0
train_pfstar/002f12bh_list_2.wav,f,12,0
train_pfstar/002f12bh_list_ph02.wav,f,12,0
train_pfstar/002f12bh_list_ph07.wav,f,12,0
train_pfstar/002f12bh_list_ph12.wav,f,12,0
train_pfstar/002f12bh_sentences2or7a.wav,f,12,0
train_pfstar/002f12bh_sentences2or7b.wav,f,12,0
train_pfstar/002f12bh_w_list2.wav,f,12,0
train_pfstar/002m10nl_digits7.wav,m,10,1
train_pfstar/002m10nl_list_ph02.wav,m,10,1
train_pfstar/002m10nl_list_ph07.wav,m,10,1
train_pfstar/002m10nl_sentences2or7a.wav,m,10,1
train_pfstar/002m10nl_sentences2or7b.wav,m,10,1
train_pfstar/002m10nl_w_list2.wav,m,10,1
train_pfstar/002m14bh_digits2.wav,m,14,1
train_pfstar/002m14bh_digits7.wav,m,14,1
train_pfstar/002m14bh_list_2.wav,m,14,1
train_pfstar/002m14bh_list_ph02.wav,m,14,1
train_pfstar/002m14bh_list_ph07.wav,m,14,1
train_pfstar/002m14bh_list_ph12.wav,m,14,1
train_pfstar/002m14bh_sentences2or7a.wav,m,14,1
train_pfstar/002m14bh_sentences2or7b.wav,m,14,1
train_pfstar/002m14bh_w_list2.wav,m,14,1
train_pfstar/003m10bh_digits8.wav,m,10,1
train_pfstar/003m10bh_list_ph03.wav,m,10,1
train_pfstar/003m10bh_list_ph08.wav,m,10,1
train_pfstar/003m10bh_list_ph13.wav,m,10,1
train_pfstar/003m10bh_sentences3or8a.wav,m,10,1
train_pfstar/003m10bh_sentences3or8b.wav,m,10,1
train_pfstar/003m10bh_w_list3.wav,m,10,1
train_pfstar/003m10nl_digits8.wav,m,10,1
train_pfstar/003m10nl_list_ph03.wav,m,10,1
train_pfstar/003m10nl_list_ph08.wav,m,10,1
train_pfstar/003m10nl_list_ph13.wav,m,10,1
train_pfstar/003m10nl_sentences3or8a.wav,m,10,1
train_pfstar/003m10nl_sentences3or8b.wav,m,10,1
train_pfstar/003m10nl_w_list3.wav,m,10,1
train_pfstar/003m13bh_digits3.wav,m,13,1
train_pfstar/003m13bh_digits8.wav,m,13,1
train_pfstar/003m13bh_list_3.wav,m,13,1
train_pfstar/003m13bh_list_ph03.wav,m,13,1
train_pfstar/003m13bh_list_ph08.wav,m,13,1
train_pfstar/003m13bh_sentences3or8a.wav,m,13,1
train_pfstar/003m13bh_sentences3or8b.wav,m,13,1
train_pfstar/003m13bh_w_list3.wav,m,13,1
train_pfstar/004f05bh_digits4.wav,f,05,0
train_pfstar/004f05bh_digits9.wav,f,05,0
train_pfstar/004f11nl_digits9.wav,f,11,0
train_pfstar/004f11nl_list_ph04.wav,f,11,0
train_pfstar/004f11nl_sentences4or9a.wav,f,11,0
train_pfstar/004f11nl_w_list4.wav,f,11,0
train_pfstar/004m08bh_list_ph09.wav,m,08,1
train_pfstar/004m08bh_sentences4or9.wav,m,08,1
train_pfstar/004m10bh_list_ph09.wav,m,10,1
train_pfstar/004m10bh_sentences4or9a.wav,m,10,1
